112,6.4314,-0.017544,72
90,3.6144,0,72
98,1.8413,0,74
140,0.2085,0,80
124,291.75,0.068966,57
104,291.08,0.26829,47
114,290.58,0.2809,49
154,290.07,0.14925,65
136,291.53,0.12397,82
110,289.63,0.23596,66
120,291.77,0.25,72
154,291.53,0.040541,94
136,51.664,0,78
120,261.09,0.2,66
116,260.81,0.13725,68
162,48.813,-0.006135,84
110,0.30233,0,63
80,66.318,-0.012346,63
89,17.579,0,65
127,0.12313,-0.052239,71
147,290.68,0.13953,72
128,291.18,0.2549,62
138,292.1,0.31429,64
176,291.86,0.16556,76
146,18.727,0,56
125,360.59,0.45349,46
132,361.91,0.41935,48
176,362.12,0.04142,66
184,295.42,0.1018,75
165,292.25,0.064516,61
179,292.57,0.15484,63
212,292.59,0.19101,83
147,255.8,0.15748,80
131,259.25,0.23585,72
134,259.2,0.25234,70
161,256.87,0.080537,86
186,293.67,0.21569,92
176,294.48,0.26619,88
177,293.64,0.27338,90
218,294.9,0.19126,106
